rate_date,from_currency_code,to_currency_code,exchange_rate,rate_source
2024-08-01,EUR,PLN,4.3046,ECB_REFERENCE
2024-08-01,EUR,RON,4.9569,ECB_REFERENCE
2024-08-01,EUR,EUR,1.0,ECB_REFERENCE
2024-08-02,EUR,PLN,4.3159,ECB_REFERENCE
2024-08-02,EUR,RON,4.9732,ECB_REFERENCE
2024-08-02,EUR,EUR,1.0,ECB_REFERENCE
2024-08-03,EUR,PLN,4.2864,ECB_REFERENCE
2024-08-03,EUR,RON,4.9505,ECB_REFERENCE
2024-08-03,EUR,EUR,1.0,ECB_REFERENCE
2024-08-04,EUR,PLN,4.2883,ECB_REFERENCE
2024-08-04,EUR,RON,4.9451,ECB_REFERENCE
2024-08-04,EUR,EUR,1.0,ECB_REFERENCE
2024-08-05,EUR,PLN,4.2881,ECB_REFERENCE
2024-08-05,EUR,RON,4.9303,ECB_REFERENCE
2024-08-05,EUR,EUR,1.0,ECB_REFERENCE
2024-08-06,EUR,PLN,4.3013,ECB_REFERENCE
2024-08-06,EUR,RON,4.9437,ECB_REFERENCE
2024-08-06,EUR,EUR,1.0,ECB_REFERENCE
2024-08-07,EUR,PLN,4.3023,ECB_REFERENCE
2024-08-07,EUR,RON,4.9632,ECB_REFERENCE
2024-08-07,EUR,EUR,1.0,ECB_REFERENCE
2024-08-08,EUR,PLN,4.3093,ECB_REFERENCE
2024-08-08,EUR,RON,4.9483,ECB_REFERENCE
2024-08-08,EUR,EUR,1.0,ECB_REFERENCE
2024-08-09,EUR,PLN,4.3149,ECB_REFERENCE
2024-08-09,EUR,RON,4.9317,ECB_REFERENCE
2024-08-09,EUR,EUR,1.0,ECB_REFERENCE
2024-08-10,EUR,PLN,4.3281,ECB_REFERENCE
2024-08-10,EUR,RON,4.9308,ECB_REFERENCE
2024-08-10,EUR,EUR,1.0,ECB_REFERENCE
2024-08-11,EUR,PLN,4.3253,ECB_REFERENCE
2024-08-11,EUR,RON,4.9191,ECB_REFERENCE
2024-08-11,EUR,EUR,1.0,ECB_REFERENCE
2024-08-12,EUR,PLN,4.3439,ECB_REFERENCE
2024-08-12,EUR,RON,4.9164,ECB_REFERENCE
2024-08-12,EUR,EUR,1.0,ECB_REFERENCE
2024-08-13,EUR,PLN,4.3373,ECB_REFERENCE
2024-08-13,EUR,RON,4.9104,ECB_REFERENCE
2024-08-13,EUR,EUR,1.0,ECB_REFERENCE
2024-08-14,EUR,PLN,4.3454,ECB_REFERENCE
2024-08-14,EUR,RON,4.9166,ECB_REFERENCE
2024-08-14,EUR,EUR,1.0,ECB_REFERENCE
2024-08-15,EUR,PLN,4.3517,ECB_REFERENCE
2024-08-15,EUR,RON,4.9241,ECB_REFERENCE
2024-08-15,EUR,EUR,1.0,ECB_REFERENCE
2024-08-16,EUR,PLN,4.3843,ECB_REFERENCE
2024-08-16,EUR,RON,4.917,ECB_REFERENCE
2024-08-16,EUR,EUR,1.0,ECB_REFERENCE
2024-08-17,EUR,PLN,4.3765,ECB_REFERENCE
2024-08-17,EUR,RON,4.903,ECB_REFERENCE
2024-08-17,EUR,EUR,1.0,ECB_REFERENCE
2024-08-18,EUR,PLN,4.3859,ECB_REFERENCE
2024-08-18,EUR,RON,4.9224,ECB_REFERENCE
2024-08-18,EUR,EUR,1.0,ECB_REFERENCE
2024-08-19,EUR,PLN,4.3841,ECB_REFERENCE
2024-08-19,EUR,RON,4.9079,ECB_REFERENCE
2024-08-19,EUR,EUR,1.0,ECB_REFERENCE
2024-08-20,EUR,PLN,4.3715,ECB_REFERENCE
2024-08-20,EUR,RON,4.9191,ECB_REFERENCE
2024-08-20,EUR,EUR,1.0,ECB_REFERENCE
2024-08-21,EUR,PLN,4.3829,ECB_REFERENCE
2024-08-21,EUR,RON,4.9285,ECB_REFERENCE
2024-08-21,EUR,EUR,1.0,ECB_REFERENCE
2024-08-22,EUR,PLN,4.3727,ECB_REFERENCE
2024-08-22,EUR,RON,4.9325,ECB_REFERENCE
2024-08-22,EUR,EUR,1.0,ECB_REFERENCE
2024-08-23,EUR,PLN,4.3744,ECB_REFERENCE
2024-08-23,EUR,RON,4.9363,ECB_REFERENCE
2024-08-23,EUR,EUR,1.0,ECB_REFERENCE
2024-08-24,EUR,PLN,4.3878,ECB_REFERENCE
2024-08-24,EUR,RON,4.9401,ECB_REFERENCE
2024-08-24,EUR,EUR,1.0,ECB_REFERENCE
2024-08-25,EUR,PLN,4.3982,ECB_REFERENCE
2024-08-25,EUR,RON,4.9413,ECB_REFERENCE
2024-08-25,EUR,EUR,1.0,ECB_REFERENCE
2024-08-26,EUR,PLN,4.4027,ECB_REFERENCE
2024-08-26,EUR,RON,4.9522,ECB_REFERENCE
2024-08-26,EUR,EUR,1.0,ECB_REFERENCE
2024-08-27,EUR,PLN,4.3802,ECB_REFERENCE
2024-08-27,EUR,RON,4.9467,ECB_REFERENCE
2024-08-27,EUR,EUR,1.0,ECB_REFERENCE
2024-08-28,EUR,PLN,4.373,ECB_REFERENCE
2024-08-28,EUR,RON,4.9356,ECB_REFERENCE
2024-08-28,EUR,EUR,1.0,ECB_REFERENCE
2024-08-29,EUR,PLN,4.3688,ECB_REFERENCE
2024-08-29,EUR,RON,4.9614,ECB_REFERENCE
2024-08-29,EUR,EUR,1.0,ECB_REFERENCE
